smarthome_id	VendorName	Vendor Websites	Policy Link On Website
353	mieleusa	https://www.mieleusa.com/	https://www.mieleusa.com/domestic/privacy-policy-3762.htm
354	glow-worm	https://www.glow-worm.co.uk/homeowner/products/migo-personal-heating-assistant-23104.html	https://www.glow-worm.co.uk/about-us/privacy-policy/
355	mihome4u	https://mihome4u.co.uk/	None
356	milight	https://www.milight.com/	https://www.milight.com/privacy-policy/
357	millheat	https://www.millheat.com/	None
358	minut	https://www.minut.com/	https://www.minut.com/service/privacy-policy
359	misfit	https://www.misfit.com/	https://help.misfit.com/hc/en-us/articles/360026223532-Privacy-Policy
360	mobilinc	http://mobilinc.com/	None
361	mobvoi	https://www.mobvoi.com/	https://www.mobvoi.com/pages/privacy-policy
362	moen	https://www.moen.com/	https://www.moen.com/privacy-policy
363	momax	http://www.momax.net/	http://www.momax.net/privacy-policy
364	momentumcam	https://momentumcam.com/	https://momentumcam.com/pages/online-privacy-policy
365	moodo	https://moodo.co/	https://moodo.co/privacy-policy/
366	mydlink	http://www.mydlink.com/	https://www.mydlink.com/privacyPolicy
367	myq	https://www.myq.com/	https://www.myq.com/privacy-policy
368	mystrom	https://www.mystrom.ch/	https://mystrom.ch/privacy-policy/
369	myuplink	https://myuplink.com/	https://myuplink.com/legal/privacy-policy-step-1/en
370	nadelectronics	https://nadelectronics.com/	https://mailchimp.com/legal/
371	tzumi	https://tzumi.com/	None
372	nanoleaf	https://nanoleaf.me/en/	https://nanoleaf.me/en/contact-us/privacy/
373	neatorobotics	https://www.neatorobotics.com/	https://www.neatorobotics.com/privacy-policy/
374	nello	https://www.nello.io/en/smart-home	https://www.nello.io/en/privacy
375	neosmartblinds	http://neosmartblinds.com/	http://neosmartblinds.com/legal-terms/
376	neocontrolglobal	https://neocontrolglobal.com/	https://neocontrolglobal.com/privacy/
377	voltronelectrical	https://www.voltronelectrical.com.au/nero-smart-home/	None
378	nesscorporation	http://nesscorporation.com/	http://nesscorporation.com/privacy-policy/
379	nest	https://nest.com/	https://nest.com/privacy/
380	netatmo	https://www.netatmo.com/en-us	https://view.netatmo.com/fr/legals/app?gsc=true&goto=legal-mentions#element15
381	nethome-plus	https://nethome-plus.en.aptoide.com/	http://www.carrier.com/carrier/en/fr/privacy-notice/
382	netrohome	http://www.netrohome.com/	None
383	netvue	https://www.netvue.com/	None
384	neu-smart	https://neu-smart.com/	None
385	nexete	http://nexete.com/	None
386	nexiahome	https://www.nexiahome.com/	https://www.nexiahome.com/privacy-policy
387	getnexx	https://getnexx.com/	https://getnexx.com/policies/privacy-policy
388	nibeuplink	http://www.nibeuplink.com/	None
389	nightowlsp	https://nightowlsp.com/	None
390	nordlux	https://www.nordlux.com/	https://www.nordlux.com/privacy-policy-(en)
391	nortek	https://www.nortek.com/	None
392	noushouse	https://www.noushouse.com.au/	None
393	novolinkinc	https://www.novolinkinc.com/	None
394	ntonpower	https://www.ntonpower.com/	https://www.ntonpower.com/pages/privacy-policy
395	nuheat	https://www.nuheat.com/	https://www.nvent.com/en-us/privacy-policy.html
396	nuki	https://nuki.io/en/	https://nuki.io/en/service/privacy/
397	nxeco	http://www.nxeco.com/	http://www.nxeco.com/sales-terms.html
398	oakter	http://oakter.com/	http://oakter.com/home_automation_policy_oakter.php
399	odsif	https://www.odsif.dk/en/index.php	None
400	ogemray	http://en.ogemray.com/index.html	None
401	ohmie	https://www.ohmie.co/	None
402	okashasmart	https://okashasmart.com/	https://okashasmart.com/privacypolicy
403	onkyousa	https://www.onkyousa.com/	https://www.onkyousa.com/privacy-policy/
404	ooma	https://www.ooma.com/	https://www.ooma.com/legal/privacy-policy/
405	openalpr	https://www.openalpr.com/	https://www.openalpr.com/privacy-policy.html
406	openenergymonitor	https://openenergymonitor.org/	None
407	opengarage	https://opengarage.io/	None
408	openhab	https://www.openhab.org/	https://www.openhab.org/privacy.html
409	openmotics	https://www.openmotics.com/?lang=en	https://www.openmotics.com/privacy/?lang=en
410	opensprinkler	https://opensprinkler.com/	None
411	optoma	https://www.optoma.com/us/	https://www.optoma.com/privacy-policy/
412	orbnext	http://orbnext.mystrikingly.com/	None
